dest	src	kind	date	date_src	circles
Al-B_hull_2026-08-27.html	hulls/Al-B_hull.html	hull(svg)	2026-08-27	content	62
Al-Cu_hull_2026-08-23.html	Al-Cu_hull_2026-08-23.html	hull(svg)	2026-08-23	mtime	61
Al-Fe_hull_2026-08-25.html	hull_2026-08-25/Al-Fe_hull_2026-08-25.html	hull(svg)	2026-08-25	mtime	51
Al-Ni_hull_2026-08-24.html	Al-Ni_hull_2026-08-24.html	hull(svg)	2026-08-24	mtime	56
B-C_hull_2026-08-25.html	hull_2026-08-25/B-C_hull_2026-08-25.html	hull(svg)	2026-08-25	mtime	55
B-Cr_hull_2026-08-27.html	hulls/B-Cr_hull.html	hull(svg)	2026-08-27	content	53
Ba-Si_hull_2026-08-25.html	hull_2026-08-25/Ba-Si_hull_2026-08-25.html	hull(svg)	2026-08-25	mtime	47
Bi-S_hull_2026-08-28.html	pages/Bi-S.html	hull(svg)	2026-08-28	content	65
Cr-Te_hull_2026-08-28.html	pages/Cr-Te.html	hull(svg)	2026-08-28	content	63
Cu-Fe_hull_2026-08-25.html	hull_2026-08-25/Cu-Fe_hull_2026-08-25.html	hull(svg)	2026-08-25	mtime	56
Cu-S_hull_2026-08-25.html	hull_2026-08-25/Cu-S_hull_2026-08-25.html	hull(svg)	2026-08-25	mtime	51
Cu-Sb_hull_2026-08-25.html	hull_2026-08-25/Cu-Sb_hull_2026-08-25.html	hull(svg)	2026-08-25	content	57
Cu-Se_hull_2026-08-25.html	hull_2026-08-25/Cu-Se_hull_2026-08-25.html	hull(svg)	2026-08-25	content	54
Cu-Sn_hull_2026-08-24.html	Cu-Sn_hull_2026-08-24.html	hull(svg)	2026-08-24	mtime	56
Cu-Zr_hull_2026-08-23.html	Cu-Zr_hull_2026-08-23.html	hull(svg)	2026-08-23	mtime	39
Fe-Rh_hull_2026-08-28.html	pages/Fe-Rh.html	hull(svg)	2026-08-28	content	53
Fe-Si_hull_2026-08-24.html	Fe-Si_hull_2026-08-24.html	hull(svg)	2026-08-24	mtime	47
Fe-Sn_hull_2026-08-26.html	Fe-Sn_hull_2026-08-26.html	hull(svg)	2026-08-26	mtime	52
Ga-Mn_hull_2026-08-25.html	hull_2026-08-25/Ga-Mn_hull_2026-08-25.html	hull(svg)	2026-08-25	mtime	53
Ga-Ni_hull_2026-08-25.html	hull_2026-08-25/Ga-Ni_hull_2026-08-25.html	hull(svg)	2026-08-25	mtime	52
Li-N_hull_2026-08-26.html	Li-N_hull_2026-08-26.html	hull(svg)	2026-08-26	mtime	46
Li-S_hull_2026-08-24.html	Li-S_hull_2026-08-24.html	hull(svg)	2026-08-24	mtime	54
Mg-Sb_hull_2026-08-26.html	Mg-Sb_hull_2026-08-26.html	hull(svg)	2026-08-26	mtime	56
Mg-Si_hull_2026-08-25.html	hull_2026-08-25/Mg-Si_hull_2026-08-25.html	hull(svg)	2026-08-25	mtime	57
Mg-Sn_hull_2026-08-25.html	hull_2026-08-25/Mg-Sn_hull_2026-08-25.html	hull(svg)	2026-08-25	mtime	56
Mg-Zn_hull_2026-08-24.html	Mg-Zn_hull_2026-08-24.html	hull(svg)	2026-08-24	mtime	42
Mn-Ni_hull_2026-08-25.html	hull_2026-08-25/Mn-Ni_hull_2026-08-25.html	hull(svg)	2026-08-25	mtime	41
Na-Sn_hull_2026-08-25.html	hull_2026-08-25/Na-Sn_hull_2026-08-25.html	hull(svg)	2026-08-25	mtime	43
Ni-Si_hull_2026-08-25.html	hull_2026-08-25/Ni-Si_hull_2026-08-25.html	hull(svg)	2026-08-25	content	53
Ni-Ti_hull_2026-08-24.html	Ni-Ti_hull_2026-08-24.html	hull(svg)	2026-08-24	mtime	50
Sb-S_hull_2026-08-25.html	hull_2026-08-25/Sb-S_hull_2026-08-25.html	hull(svg)	2026-08-25	mtime	57
Sb-Se_hull_2026-08-28.html	pages/Sb-Se.html	hull(svg)	2026-08-28	content	65
Si-C_hull_2026-08-25.html	hull_2026-08-25/Si-C_hull_2026-08-25.html	hull(svg)	2026-08-25	content	58
Si-N_hull_2026-08-28.html	pages/Si-N.html	hull(svg)	2026-08-28	content	51
Si-Sn_hull_2026-08-25.html	hull_2026-08-25/Si-Sn_hull_2026-08-25.html	hull(svg)	2026-08-25	mtime	56
Ta-C_hull_2026-08-26.html	Ta-C_hull_2026-08-26.html	hull(svg)	2026-08-26	mtime	54
Ti-Al_hull_2026-08-24.html	Ti-Al_hull_2026-08-24.html	hull(svg)	2026-08-24	mtime	55
Ti-C_hull_2026-08-25.html	hull_2026-08-25/Ti-C_hull_2026-08-25.html	hull(svg)	2026-08-25	mtime	52
Ti-O_hull_2026-08-25.html	hull_2026-08-25/Ti-O_hull_2026-08-25.html	hull(svg)	2026-08-25	content	53
Ti-Si_hull_2026-08-25.html	hull_2026-08-25/Ti-Si_hull_2026-08-25.html	hull(svg)	2026-08-25	mtime	41
W-B_hull_2026-08-25.html	hull_2026-08-25/W-B_hull_2026-08-25.html	hull(svg)	2026-08-25	mtime	41
Zn-Sb_hull_2026-08-25.html	hull_2026-08-25/Zn-Sb_hull_2026-08-25.html	hull(svg)	2026-08-25	content	53
